iter	Passed	Remaining
836	1683	327
837	1684	325
838	1685	323
839	1687	321
840	1688	319
841	1689	317
842	1691	314
843	1692	312
844	1695	311
845	1697	308
846	1698	306
847	1700	304
848	1700	302
849	1702	300
850	1703	298
851	1704	296
852	1705	293
853	1709	292
854	1710	290
855	1712	288
856	1713	285
857	1714	283
858	1715	281
859	1716	279
860	1718	277
861	1719	275
862	1723	273
863	1724	271
864	1725	269
865	1726	267
866	1727	265
867	1729	262
868	1730	260
869	1731	258
870	1732	256
871	1733	254
872	1734	252
873	1737	250
874	1738	248
875	1740	246
876	1741	244
877	1742	242
878	1743	239
879	1744	237
880	1745	235
881	1747	233
882	1749	231
883	1751	229
884	1752	227
885	1753	225
886	1755	223
887	1756	221
888	1757	219
889	1758	217
890	1759	215
891	1760	213
892	1761	211
893	1764	209
894	1766	207
895	1767	205
896	1768	203
897	1770	201
898	1771	198
899	1772	196
900	1773	194
901	1774	192
902	1775	190
903	1780	189
904	1782	187
905	1783	185
906	1784	182
907	1785	180
908	1786	178
909	1787	176
910	1789	174
911	1792	172
912	1793	170
913	1794	168
914	1796	166
915	1797	164
916	1799	162
917	1800	160
918	1803	159
919	1806	157
920	1808	155
921	1809	153
922	1810	151
923	1811	149
924	1813	147
925	1814	144
926	1818	143
927	1819	141
928	1820	139
929	1821	137
930	1823	135
931	1824	133
932	1825	131
933	1826	129
934	1827	127
935	1828	125
936	1832	123
937	1833	121
938	1834	119
939	1836	117
940	1837	115
941	1838	113
942	1839	111
943	1840	109
944	1842	107
945	1845	105
946	1846	103
947	1848	101
948	1849	99
949	1850	97
950	1851	95
951	1853	93
952	1854	91
953	1855	89
954	1856	87
955	1860	85
956	1861	83
957	1862	81
958	1863	79
959	1864	77
960	1865	75
961	1867	73
962	1868	71
963	1869	69
964	1870	67
965	1874	65
966	1875	64
967	1876	62
968	1877	60
969	1878	58
970	1880	56
971	1881	54
972	1882	52
973	1883	50
974	1885	48
975	1888	46
976	1889	44
977	1890	42
978	1891	40
979	1892	38
980	1893	36
981	1895	34
982	1896	32
983	1897	30
984	1898	28
985	1903	27
986	1905	25
987	1906	23
988	1908	21
989	1909	19
990	1911	17
991	1912	15
992	1916	13
993	1917	11
994	1918	9
995	1920	7
996	1921	5
997	1922	3
998	1924	1
999	1925	0
